Geography,units_prior_year,units_current_year,dollars_prior_year,dollars_current_year,asp_prior_year,asp_current_year
Albany,5758615.22,5518035.9,6817744.6,7570369.07,16.742952931,19.370833856
Atlanta,27825805.18,28457894.04,29822516.18,36209404.49,15.338378609,17.986099683
Baltimore/Washington,45743815.27,44729487.72,58586266.48,65586295.1,18.252884512,20.579242886
Boise,4222212.56,4371045.49,4776971.58,6089802.83,16.177539478,19.60244276
Boston,31464441.58,30901818.53,39753622.72,46234853.83,18.001136612,21.046123972
Buffalo/Rochester,8343729.88,8469461.76,10689614.99,12044777.56,18.262513398,19.824337899
California,316379156.16,310276917.36,357416338.21,402020055.77,16.156570328,18.487847518
Charlotte,11468489.31,12506109.01,14179316.02,17761413.32,17.516857751,20.00668356
Chicago,43375072.78,43255948.34,55214065.42,66741921.75,18.489892355,22.211854803
Cincinnati/Dayton,12430379.76,13543833.28,14736590.57,18667057.05,16.751723229,19.575274443
Columbus,9293569.56,10038715.79,10388349.61,12154032.31,15.820277398,17.212544013
"Dallas/Ft. Worth",64507825.16,65696837.15,56046571.36,64221124.7,12.31578621,13.779295609
Denver,41488558.91,42132893.94,46568782.03,53689017.05,16.074718445,18.049818969
Detroit,19169789.81,19888721.44,22246528.69,25481440.66,16.490272002,18.481294002
"Grand Rapids",9442011.33,8983497.6,11965917.06,13430963.36,18.341031365,21.498845046
"Great Lakes",182862055.74,189223678.17,218340341.65,259702920.54,17.024001321,19.55472681
Harrisburg/Scranton,14481249.77,14362650.66,17133527.23,19691395.43,16.779936128,19.224644879
Hartford/Springfield,17314343.64,16564523.4,22411174.38,25262712.52,18.58727057,21.428062899
Houston,63084079.9,70221211.31,52442536.5,62644034.79,11.815619239,12.738383267
Indianapolis,9189863.91,9885209.75,11045989.55,13295419.36,17.235495277,19.11583841
Jacksonville,9495374.18,9382258.13,10713234.28,13013937.82,16.2914022,19.708406522
"Las Vegas",16844437.03,16459336.62,17658331.69,19572125.22,14.952788162,16.878449671
"Los Angeles",147148736.6,146890808.9,150649618.39,176706321.93,14.652650658,17.212011619
Louisville,4811087.46,5012341.71,5698392.45,6872704.07,16.973119361,19.389055818
"Miami/FT. Lauderdale",32277559.63,32302102.43,38068530.24,46037819.88,16.954253542,20.381861068
Midsouth,166639522.36,172399541.24,197075657.83,232538808.57,16.789137814,18.956182205
Nashville,10736690.33,12606134.37,11370460.54,14021895.75,15.030597556,15.778343623
"New Orleans/Mobile",15624655.65,14940262.79,15557630.62,18356440.95,14.335523587,17.349102735
"New York",78796193.5,79930116.37,103205846.19,123921493.73,19.000547498,21.808220127
Northeast,236710682.69,238246542.99,300880788.84,352043551.93,18.151362421,20.727892466
"Northern New England",25313811.69,24922692.34,30228491.27,34421218.61,16.962605339,19.554689721
Orlando,19492690.81,19582310.81,22214770.54,27043237.66,16.438285793,19.589884423
Philadelphia,24567910.08,24335514.66,32092524.0,36643433.93,18.665294104,21.130983714
Phoenix/Tucson,60631636.56,60372062.09,44826073.67,49762917.02,10.780712503,11.953590897
Pittsburgh,5822816.04,7455788.47,7310290.01,9238204.68,17.718844336,17.502155527
Plains,101126283.21,102418888.95,113504057.46,133680410.28,16.074755782,18.529715884
Portland,29889917.29,31925823.99,36176922.21,41403413.92,17.314665821,18.41367823
Raleigh/Greensboro,16033039.6,16880143.07,18897550.5,22873530.53,16.627707652,19.061310424
Richmond/Norfolk,14583878.31,14596203.07,15454534.01,18257494.04,15.019849447,17.573790414
Roanoke,8128377.1,8192493.0,8844259.12,10341880.97,15.446939891,17.738120329
Sacramento,24948929.58,24371122.63,30430137.81,34094700.09,17.401568178,19.87537536
"San Diego",27383001.89,26417067.8,29846289.81,33321483.83,15.561582833,18.0848796
"San Francisco",44643326.83,43737777.5,61453855.12,65134700.3,19.716254137,21.332025917
Seattle,29650031.74,30147281.59,40366508.09,45101373.25,19.482757173,21.20817127
"South Carolina",19405515.26,20573185.63,21705244.03,26884747.0,15.990816456,18.384432915
"South Central",323195253.13,331788221.93,283284630.91,325045156.9,12.432734056,13.872400371
Southeast,200365913.68,202463692.28,224017504.98,271359393.13,16.061943898,19.002510608
Spokane,4325645.51,4607274.98,5456704.66,6259888.15,18.048223265,19.248008418
"St. Louis",10237443.55,9329187.87,12005980.43,13064963.43,16.580428221,19.69125577
Syracuse,3903314.21,4049696.69,4954620.13,5662989.96,17.962878605,19.532318085
Tampa,22018868.89,21916098.92,24867590.94,29919631.5,16.242747094,19.462250335
"Total U.S.",1853361918.85,1877569144.6,2035912899.7,2365541794.6,15.658973637,17.819709517
West,326083049.97,330751659.19,341393580.53,389151498.2,14.994334315,16.698210109
"West Tex/New Mexico",47391287.8,48209910.56,39500903.17,44615473.78,11.828428747,13.08641536
